tenants,events,run,tlc_batches,tlc_messages,tlc_fetch_ms_total,tlc_duration_ms_total,tlc_non_fetch_ms_total,tlc_fetch_ms_mean_batch,tlc_duration_ms_mean_batch,metrics_missing,experiment_info_missing,experiment_total_ms,input_generation_duration_ms,pipeline_drain_ms,audit_ingestion_grace_ms,audit_consumer_drain_ms,tlc_consumer_drain_ms,create_clusterrole,delete_clusterrole,create_rb,delete_rb,create_crb,delete_crb,cross_tenant_access
2,10,1,1,3,4572.421,5685.783,1113.363,4572.421,5685.783,False,False,1414,942,195,,94,96,1,1,1,3,0,1,3
2,10,2,2,25,9131.179,11110.495,1979.316,4565.590,5555.247,False,False,8023,980,6762,,92,6666,0,1,1,2,1,0,5
2,10,3,1,13,4562.095,5538.474,976.379,4562.095,5538.474,False,False,7951,888,6765,,109,6651,1,3,0,1,0,1,4
2,10,4,1,16,4567.297,5592.780,1025.483,4567.297,5592.780,False,False,7975,1927,5679,,93,5582,0,0,1,0,2,1,6
2,10,5,1,17,4556.646,5580.646,1024.000,4556.646,5580.646,False,False,6981,992,5697,,92,5601,0,1,1,1,3,0,4
2,10,6,2,19,9126.382,11151.892,2025.510,4563.191,5575.946,False,False,8260,1140,6750,,98,6648,3,2,1,0,0,0,4
2,10,7,1,16,4567.872,5536.174,968.302,4567.872,5536.174,False,False,7880,852,5677,,98,5574,0,1,1,0,0,0,8
2,10,8,1,16,4566.544,5599.647,1033.103,4566.544,5599.647,False,False,7084,1050,5700,,112,5584,4,0,1,1,0,2,2
2,10,9,2,18,9138.968,11247.419,2108.452,4569.484,5623.709,False,False,8104,1047,6768,,91,6673,1,0,2,1,0,1,5
2,10,10,1,12,4571.049,5619.121,1048.071,4571.049,5619.121,False,False,8063,957,6769,,96,6669,0,3,1,1,1,0,4
2,10,11,1,18,4572.312,5597.929,1025.617,4572.312,5597.929,False,False,8179,1137,5685,,102,5579,1,1,3,0,2,1,2
2,10,12,1,21,4581.385,5675.149,1093.763,4581.385,5675.149,False,False,7287,1226,5766,,161,5600,2,1,1,0,4,0,2
2,10,13,1,15,4572.050,5538.592,966.541,4572.050,5538.592,False,False,8072,1019,5697,,95,5598,1,2,2,0,1,2,2
2,10,14,1,16,4563.003,5641.431,1078.428,4563.003,5641.431,False,False,7181,1101,5759,,142,5612,1,3,3,1,0,0,2
2,10,15,1,15,4571.849,5582.899,1011.050,4571.849,5582.899,False,False,8251,1119,6768,,101,6664,2,1,1,2,0,0,4
2,10,16,1,16,4560.675,5604.798,1044.123,4560.675,5604.798,False,False,7997,1023,5668,,97,5567,1,1,2,1,1,1,3
2,10,17,1,15,4580.557,5663.957,1083.400,4580.557,5663.957,False,False,7127,1037,5780,,156,5619,1,2,2,1,0,0,4
2,10,18,2,18,9136.458,11131.710,1995.252,4568.229,5565.855,False,False,7989,910,6753,,106,6642,1,0,0,0,0,1,8
2,10,19,1,16,4562.929,5542.965,980.035,4562.929,5542.965,False,False,8057,1069,5651,,100,5547,2,0,3,3,0,1,1
2,10,20,1,16,4563.937,5553.929,989.992,4563.937,5553.929,False,False,6903,964,5659,,1203,4452,1,1,2,2,0,0,4
2,10,21,2,16,9138.825,11092.512,1953.686,4569.413,5546.256,False,False,8109,1016,6766,,95,6668,0,1,3,3,0,0,3
2,10,22,1,15,4571.875,5573.700,1001.824,4571.875,5573.700,False,False,8091,1092,5681,,96,5581,0,0,2,2,2,2,2
2,10,23,1,19,4575.396,5663.554,1088.159,4575.396,5663.554,False,False,8234,1136,5670,,98,5567,1,0,3,1,1,1,3
2,10,24,1,14,4568.172,5653.588,1085.415,4568.172,5653.588,False,False,6993,959,5747,,144,5599,0,1,3,3,0,0,3
2,10,25,2,15,9134.986,11143.922,2008.936,4567.493,5571.961,False,False,8046,906,6827,,87,6736,1,1,0,2,0,0,6
2,10,26,2,17,9125.616,11187.284,2061.668,4562.808,5593.642,False,False,8070,1039,6748,,88,6656,1,0,1,2,1,1,4
2,10,27,1,13,4589.907,5583.273,993.367,4589.907,5583.273,False,False,7996,916,5686,,90,5592,1,0,1,3,1,0,4
2,10,28,1,16,4559.609,5571.044,1011.434,4559.609,5571.044,False,False,6994,1020,5689,,112,5573,1,0,0,1,2,2,4
2,10,29,2,16,9120.680,11086.951,1966.271,4560.340,5543.476,False,False,8120,1046,6761,,98,6659,2,1,1,3,0,3,0
2,10,30,1,11,4560.064,5529.426,969.362,4560.064,5529.426,False,False,7943,885,6756,,89,6663,0,3,1,2,0,0,4
2,50,1,2,51,6944.452,9043.048,2098.596,3472.226,4521.524,False,False,12029,3758,7903,,96,7803,2,4,6,10,7,3,18
2,50,2,3,59,11717.193,14913.780,3196.587,3905.731,4971.260,False,False,12836,5731,6761,,90,6667,4,6,6,4,4,3,23
2,50,3,2,56,6367.867,8506.783,2138.915,3183.934,4253.391,False,False,11765,3497,7914,,114,7795,3,5,9,5,2,2,24
2,50,4,2,57,8333.372,10367.941,2034.570,4166.686,5183.971,False,False,13501,5255,7897,,103,7791,4,4,6,5,3,3,25
2,50,5,2,61,9128.150,11201.621,2073.471,4564.075,5600.810,False,False,13857,6755,6746,,96,6646,5,6,12,4,2,4,17
2,50,6,2,48,9147.434,11261.483,2114.048,4573.717,5630.742,False,False,8236,4457,3481,,100,3376,4,2,3,11,5,7,18
2,50,7,1,50,2690.000,3671.127,981.128,2690.000,3671.127,False,False,5777,4139,1322,,95,1223,4,2,3,11,3,3,24
2,50,8,3,58,11494.446,14557.723,3063.276,3831.482,4852.574,False,False,12675,4576,6805,,135,6666,6,5,5,6,5,4,19
2,50,9,1,50,2655.392,3834.014,1178.622,2655.392,3834.014,False,False,6018,3439,1283,,93,1186,4,5,7,10,1,3,20
2,50,10,2,56,6790.184,8853.735,2063.551,3395.092,4426.868,False,False,11681,3504,7867,,117,7747,9,3,5,6,1,4,22
2,50,11,2,57,6250.013,8406.839,2156.827,3125.006,4203.419,False,False,11723,3471,7893,,89,7800,3,4,9,8,2,4,20
2,50,12,2,52,6321.004,8420.300,2099.297,3160.502,4210.150,False,False,11726,3496,7880,,102,7774,6,5,3,10,5,3,18
2,50,13,2,64,6281.042,8468.842,2187.800,3140.521,4234.421,False,False,10996,3911,6763,,89,6670,6,1,8,8,5,5,17
2,50,14,3,63,10751.133,13933.878,3182.745,3583.711,4644.626,False,False,11948,3769,7866,,90,7772,3,6,4,7,6,4,20
2,50,15,1,47,4581.319,5778.116,1196.797,4581.319,5778.116,False,False,8562,3733,3475,,96,3375,6,3,7,12,1,4,17
2,50,16,2,66,7692.480,9880.276,2187.796,3846.240,4940.138,False,False,12896,7022,4575,,93,4478,4,4,8,7,3,2,22
2,50,17,2,57,7238.411,9427.199,2188.787,3619.206,4713.600,False,False,11792,5756,5734,,117,5612,6,5,8,8,4,1,18
2,50,18,2,47,9162.563,11260.040,2097.477,4581.282,5630.020,False,False,8304,3437,4563,,94,4465,2,3,4,7,5,13,16
2,50,19,2,65,6820.256,8975.640,2155.384,3410.128,4487.820,False,False,12042,3812,7870,,92,7774,6,2,7,7,5,2,21
2,50,20,3,58,10793.780,14002.794,3209.015,3597.927,4667.598,False,False,11979,3762,7912,,116,7791,3,4,9,9,4,3,18
