tenants,events,total_runs,missing_metric_runs,missing_info_runs,valid_runs,tlc_messages_mean,tlc_messages_median,tlc_batches_mean,tlc_duration_mean,tlc_duration_median,tlc_duration_std,tlc_duration_min,tlc_duration_max,tlc_non_fetch_mean,tlc_non_fetch_median,tlc_non_fetch_std,tlc_non_fetch_min,tlc_non_fetch_max,tlc_fetch_mean,tlc_fetch_median,tlc_fetch_std,tlc_fetch_min,tlc_fetch_max,experiment_total_mean,experiment_total_median,experiment_total_std,input_generation_mean,input_generation_median,input_generation_std,pipeline_drain_mean,pipeline_drain_median,pipeline_drain_std,audit_ingestion_grace_mean,audit_consumer_drain_mean,tlc_consumer_drain_mean,tlc_realtime_factor_mean,tlc_realtime_factor_std,end_to_end_factor_mean,end_to_end_factor_std
2,10,30,0,0,30,15.767,16.000,1.267,7076.035,5611.959,2495.511,5529.426,11247.419,1290.343,1046.097,445.309,966.541,2108.452,5785.691,4571.962,2052.188,4556.646,9138.968,7579.133,7996.500,1251.389,1046.500,1021.500,188.604,5942.633,5753.000,1206.395,,141.167,5797.267,1.263,0.473,7.375,1.516
2,50,20,0,0,20,56.100,57.000,2.050,9738.259,9235.123,3153.373,3671.127,14913.780,2180.234,2126.481,622.310,981.128,3209.015,7558.025,7091.431,2576.620,2655.392,11717.193,11017.150,11778.500,2338.046,4364.000,3790.500,1129.396,6125.500,6784.000,2238.344,,100.850,6020.550,0.520,0.172,2.609,0.645
2,100,10,0,0,10,107.100,108.500,3.000,13574.605,13439.740,2416.055,10490.827,16909.584,3280.096,3296.241,699.397,2192.033,4340.308,10294.510,10096.917,1861.868,8181.174,12907.823,15744.800,15941.000,1621.099,8998.200,8712.500,1158.964,6222.300,6756.000,1304.105,,99.800,6118.500,0.366,0.077,1.763,0.186
2,1000,10,0,0,10,1071.200,1073.000,22.300,71149.933,72773.794,5019.345,62140.444,78807.192,26206.267,26095.895,1062.202,24757.969,27904.140,44943.665,45610.219,4546.254,37066.405,51558.172,92302.500,91963.500,4752.894,86005.100,85226.500,4406.926,5567.700,5664.500,1831.417,,96.700,5466.800,0.305,0.020,1.073,0.018
