tenants,events,total_runs,missing_metric_runs,missing_info_runs,valid_runs,tlc_messages_mean,tlc_messages_median,tlc_batches_mean,tlc_duration_mean,tlc_duration_median,tlc_duration_std,tlc_duration_min,tlc_duration_max,tlc_non_fetch_mean,tlc_non_fetch_median,tlc_non_fetch_std,tlc_non_fetch_min,tlc_non_fetch_max,tlc_fetch_mean,tlc_fetch_median,tlc_fetch_std,tlc_fetch_min,tlc_fetch_max,experiment_total_mean,experiment_total_median,experiment_total_std,input_generation_mean,input_generation_median,input_generation_std,pipeline_drain_mean,pipeline_drain_median,pipeline_drain_std,audit_ingestion_grace_mean,audit_consumer_drain_mean,tlc_consumer_drain_mean,tlc_realtime_factor_mean,tlc_realtime_factor_std,end_to_end_factor_mean,end_to_end_factor_std
5,10,30,0,0,30,13.567,13.500,1.300,7330.853,5702.633,2574.189,5549.170,11393.076,1386.137,1120.372,456.535,968.343,2256.604,5944.716,4588.271,2120.624,4559.209,9136.472,7636.100,7655.000,728.432,1627.300,1619.000,213.923,5486.300,5696.500,679.787,,113.833,5367.933,0.867,0.310,4.751,0.677
5,50,20,0,0,20,41.500,42.000,1.150,6495.720,5762.979,2140.295,3826.286,11394.311,1320.384,1184.282,384.751,1068.174,2243.336,5175.336,4591.449,1770.933,2598.540,9155.237,7724.900,7814.500,468.428,4345.200,4328.500,315.235,2608.600,2398.000,758.857,,152.950,2451.500,0.305,0.093,1.788,0.180
5,100,10,0,0,10,82.500,82.500,2.400,13218.946,11428.446,2896.742,10439.238,17083.078,2730.526,2411.316,500.437,2257.041,3503.134,10488.420,9077.992,2411.420,8087.525,13728.542,14085.900,13980.000,747.250,8758.800,9262.500,906.899,4810.200,4597.500,878.471,,216.500,4588.700,0.312,0.045,1.621,0.159
5,1000,10,0,0,10,775.900,776.000,16.500,66235.139,66398.698,2674.264,60251.842,70150.214,20069.672,19844.394,684.812,19088.313,21079.594,46165.467,46614.937,2434.423,40630.337,49070.620,82783.700,83713.000,3301.142,75264.700,75584.000,2627.251,6694.500,6808.000,1091.092,,110.900,6578.800,0.267,0.007,1.100,0.013
