timestamp,batch_size,fetch_ms,tlc_duration_ms,tlc_non_fetch_ms,exit_code
2026-09-09T16:31:35.361548145Z,50,3947.283,5201.371,1254.088,0
2026-09-09T16:31:39.348412018Z,50,1734.348,2976.258,1241.910,0
2026-09-09T16:31:45.370738630Z,50,3791.603,5007.615,1216.012,0
2026-09-09T16:31:50.363745189Z,50,2694.951,3982.231,1287.280,0
2026-09-09T16:31:56.342608570Z,50,3721.582,4967.485,1245.903,0
2026-09-09T16:32:02.343141235Z,50,3791.193,4986.095,1194.902,0
2026-09-09T16:32:07.413680513Z,50,2819.767,4059.425,1239.658,0
2026-09-09T16:32:11.374721835Z,50,1745.536,2949.408,1203.873,0
2026-09-09T16:32:15.367842362Z,50,1796.655,2979.182,1182.527,0
2026-09-09T16:32:19.383270963Z,50,1778.585,3004.182,1225.596,0
2026-09-09T16:32:23.388963888Z,50,1754.060,2989.948,1235.888,0
2026-09-09T16:32:27.425737643Z,50,1751.414,3010.940,1259.526,0
2026-09-09T16:32:32.376975055Z,50,2758.251,3939.702,1181.451,0
2026-09-09T16:32:38.356795274Z,50,3700.053,4968.910,1268.858,0
2026-09-09T16:32:43.388514780Z,50,2787.934,4011.777,1223.843,0
2026-09-09T16:32:49.925968772Z,9,4560.894,5517.924,957.030,0
