timestamp,batch_size,fetch_ms,tlc_duration_ms,tlc_non_fetch_ms,exit_code
2026-09-09T16:28:36.383453664Z,48,4588.817,5858.174,1269.358,0
2026-09-09T16:28:40.515538623Z,50,1728.315,3118.371,1390.056,0
2026-09-09T16:28:45.514228636Z,50,2721.627,3987.095,1265.468,0
2026-09-09T16:28:51.499192115Z,50,3627.364,4967.479,1340.115,0
2026-09-09T16:28:58.335228430Z,38,4594.953,5823.940,1228.987,0
2026-09-09T16:29:02.486116010Z,50,2033.965,3139.756,1105.791,0
2026-09-09T16:29:08.504219983Z,50,3737.845,5006.644,1268.798,0
2026-09-09T16:29:13.483300898Z,50,2772.804,3965.551,1192.747,0
2026-09-09T16:29:18.547801383Z,50,2811.028,4053.005,1241.977,0
2026-09-09T16:29:22.502514874Z,50,1754.825,2943.751,1188.926,0
2026-09-09T16:29:26.510527Z,50,1759.899,2993.803,1233.904,0
2026-09-09T16:29:30.568783007Z,50,1786.680,3047.500,1260.820,0
2026-09-09T16:29:34.509884475Z,50,1694.210,2930.348,1236.138,0
2026-09-09T16:29:40.442456986Z,50,3777.417,4907.626,1130.210,0
2026-09-09T16:29:45.503599228Z,50,2813.641,4039.607,1225.966,0
2026-09-09T16:29:52.173918913Z,12,4569.701,5642.958,1073.257,0
