timestamp,batch_size,fetch_ms,tlc_duration_ms,tlc_non_fetch_ms,exit_code
2026-09-09T16:24:22.175990138Z,50,3551.532,4780.219,1228.687,0
2026-09-09T16:24:26.124511629Z,50,1718.627,2931.608,1212.981,0
2026-09-09T16:24:31.170976009Z,50,2802.723,4035.286,1232.563,0
2026-09-09T16:24:36.208254421Z,50,2746.310,4025.571,1279.261,0
2026-09-09T16:24:43.102757289Z,45,4591.285,5879.448,1288.163,0
2026-09-09T16:24:46.181853143Z,50,813.475,2065.670,1252.196,0
2026-09-09T16:24:51.141951570Z,50,2724.976,3947.127,1222.150,0
2026-09-09T16:24:55.053055828Z,50,1761.408,2899.760,1138.352,0
2026-09-09T16:25:00.167177994Z,50,2850.674,4097.160,1246.486,0
2026-09-09T16:25:04.171273504Z,50,1668.864,2992.025,1323.161,0
2026-09-09T16:25:08.152675195Z,50,1720.712,2969.491,1248.780,0
2026-09-09T16:25:13.150096428Z,50,2753.025,3982.876,1229.851,0
2026-09-09T16:25:17.172667698Z,50,1798.912,3013.025,1214.114,0
2026-09-09T16:25:21.170076644Z,50,1773.620,2985.199,1211.579,0
2026-09-09T16:25:26.151394471Z,50,2777.114,3969.673,1192.559,0
2026-09-09T16:25:32.841700532Z,39,4577.080,5677.704,1100.624,0
