timestamp,batch_size,fetch_ms,tlc_duration_ms,tlc_non_fetch_ms,exit_code
2026-09-09T18:42:37.487034210Z,50,3892.594,6996.823,3104.229,0
2026-09-09T18:42:43.699901186Z,50,1913.874,5196.851,3282.976,0
2026-09-09T18:42:49.529203143Z,50,1710.809,4814.968,3104.159,0
2026-09-09T18:42:56.763582265Z,50,2869.281,6214.384,3345.103,0
2026-09-09T18:43:01.768193460Z,50,607.366,3983.726,3376.359,0
2026-09-09T18:43:07.681188501Z,50,1661.088,4899.751,3238.663,0
2026-09-09T18:43:12.089887230Z,50,89.249,3392.065,3302.816,0
2026-09-09T18:43:16.813393365Z,50,324.005,3706.208,3382.203,0
2026-09-09T18:43:23.681992570Z,50,1601.800,5856.700,4254.899,0
2026-09-09T18:43:28.119118881Z,50,114.727,3423.444,3308.717,0
2026-09-09T18:43:33.494341735Z,50,1324.439,4363.130,3038.690,0
2026-09-09T18:43:39.799855948Z,50,1903.966,5294.187,3390.221,0
2026-09-09T18:43:44.504671266Z,50,615.490,3689.245,3073.756,0
2026-09-09T18:43:49.508926522Z,50,959.396,3990.071,3030.675,0
2026-09-09T18:43:58.352333782Z,4,4569.102,7831.570,3262.468,0
