timestamp,batch_size,fetch_ms,tlc_duration_ms,tlc_non_fetch_ms,exit_code
2026-09-09T18:50:35.635050128Z,50,4553.944,8716.226,4162.282,0
2026-09-09T18:50:40.911709802Z,50,927.278,4263.906,3336.628,0
2026-09-09T18:50:45.826918896Z,50,523.676,3901.099,3377.422,0
2026-09-09T18:50:51.749894400Z,50,1655.372,4912.953,3257.581,0
2026-09-09T18:50:57.317027018Z,50,105.641,4553.556,4447.915,0
2026-09-09T18:51:03.923921320Z,50,2203.952,5595.564,3391.612,0
2026-09-09T18:51:08.980631156Z,50,594.127,4026.351,3432.225,0
2026-09-09T18:51:16.735344031Z,50,2439.258,6741.741,4302.483,0
2026-09-09T18:51:21.508940334Z,50,117.997,3759.217,3641.220,0
2026-09-09T18:51:26.763741611Z,50,1174.588,4241.694,3067.106,0
2026-09-09T18:51:31.913060409Z,50,764.230,4134.949,3370.719,0
2026-09-09T18:51:37.831195450Z,50,1645.408,4906.659,3261.251,0
2026-09-09T18:51:42.930488644Z,50,738.115,4086.442,3348.327,0
2026-09-09T18:51:51.174797105Z,26,4559.030,7231.102,2672.072,0
