tenants,events,run,tlc_batches,tlc_messages,tlc_fetch_ms_total,tlc_duration_ms_total,tlc_non_fetch_ms_total,tlc_fetch_ms_mean_batch,tlc_duration_ms_mean_batch,metrics_missing,experiment_info_missing,experiment_total_ms,input_generation_duration_ms,pipeline_drain_ms,audit_ingestion_grace_ms,audit_consumer_drain_ms,tlc_consumer_drain_ms,create_clusterrole,delete_clusterrole,create_rb,delete_rb,create_crb,delete_crb,cross_tenant_access
10,10,1,1,12,4570.003,7193.779,2623.775,4570.003,7193.779,False,False,7134,2314,3508,,97,3406,0,0,1,1,2,1,5
10,10,2,1,12,4566.881,7646.890,3080.009,4566.881,7646.890,False,False,12093,2744,7937,,105,7828,1,0,2,1,0,1,5
10,10,3,1,12,4563.783,7298.829,2735.046,4563.783,7298.829,False,False,10864,2639,7870,,103,7764,1,0,3,0,0,0,6
10,10,4,1,9,4564.260,7243.025,2678.765,4564.260,7243.025,False,False,10942,2636,7870,,98,7769,0,1,1,3,1,0,4
10,10,5,1,10,4584.563,7472.140,2887.577,4584.563,7472.140,False,False,12037,2731,7935,,95,7835,1,0,2,0,0,1,6
10,10,6,1,15,4572.545,7227.162,2654.617,4572.545,7227.162,False,False,11040,2783,7877,,91,7782,0,1,5,0,0,0,4
10,10,7,1,11,4578.481,7164.516,2586.035,4578.481,7164.516,False,False,10997,2732,7870,,98,7768,0,1,2,2,1,0,4
10,10,8,1,10,4562.548,7213.666,2651.118,4562.548,7213.666,False,False,11029,2731,7880,,103,7773,0,2,1,1,1,0,5
10,10,9,1,11,4580.301,7193.226,2612.925,4580.301,7193.226,False,False,11967,2738,7872,,92,7777,0,1,3,0,0,1,5
10,10,10,1,10,4565.833,7277.572,2711.740,4565.833,7277.572,False,False,10864,2591,7918,,96,7819,1,0,0,4,1,2,2
10,10,11,1,14,4572.774,7117.174,2544.400,4572.774,7117.174,False,False,10971,2630,7880,,92,7784,0,0,3,2,0,2,3
10,10,12,1,8,4567.888,7377.035,2809.147,4567.888,7377.035,False,False,12152,2743,9005,,100,8901,0,1,1,1,1,0,6
